device_id,time,distance,noise
833,2025-02-15 00:01:23,408.0,False
833,2025-02-15 00:06:23,406.0,False
833,2025-02-15 00:11:23,404.0,False
833,2025-02-15 00:23:47,400.0,False
833,2025-02-15 00:28:47,398.0,False
833,2025-02-15 00:33:48,396.0,False
833,2025-02-15 00:38:48,398.0,False
833,2025-02-15 00:43:48,398.0,False
833,2025-02-15 00:48:48,392.0,False
833,2025-02-15 00:59:16,388.0,False
833,2025-02-15 01:13:45,384.0,False
833,2025-02-15 01:24:35,382.0,False
833,2025-02-15 01:29:35,384.0,False
833,2025-02-15 01:34:35,376.0,False
833,2025-02-15 01:39:35,386.0,False
833,2025-02-15 01:44:36,384.0,False
833,2025-02-15 01:49:36,372.0,False
833,2025-02-15 01:54:36,372.0,False
833,2025-02-15 01:59:38,370.0,False
833,2025-02-15 02:04:36,368.0,False
833,2025-02-15 02:09:37,366.0,False
833,2025-02-15 02:14:37,366.0,False
833,2025-02-15 02:19:37,364.0,False
833,2025-02-15 02:24:37,362.0,False
833,2025-02-15 02:29:38,366.0,False
833,2025-02-15 02:34:38,362.0,False
833,2025-02-15 02:39:38,374.0,False
833,2025-02-15 02:44:38,358.0,False
833,2025-02-15 02:49:39,364.0,False
833,2025-02-15 02:54:39,364.0,False
833,2025-02-15 02:59:39,364.0,False
833,2025-02-15 03:04:39,360.0,False
833,2025-02-15 03:09:40,366.0,False
833,2025-02-15 03:14:40,382.0,False
833,2025-02-15 03:19:40,378.0,False
833,2025-02-15 03:24:40,384.0,False
833,2025-02-15 03:29:41,394.0,False
833,2025-02-15 03:34:41,398.0,False
833,2025-02-15 03:39:41,410.0,False
833,2025-02-15 03:44:41,412.0,False
833,2025-02-15 03:49:41,420.0,False
833,2025-02-15 04:01:07,436.0,False
833,2025-02-15 04:06:07,438.0,False
833,2025-02-15 04:11:07,436.0,False
833,2025-02-15 04:23:15,428.0,False
833,2025-02-15 04:28:15,430.0,False
833,2025-02-15 04:33:15,424.0,False
833,2025-02-15 04:38:15,426.0,False
833,2025-02-15 04:43:16,422.0,False
833,2025-02-15 04:48:16,422.0,False
833,2025-02-15 04:53:16,420.0,False
833,2025-02-15 04:58:16,420.0,False
833,2025-02-15 05:03:16,412.0,False
833,2025-02-15 05:08:16,416.0,False
833,2025-02-15 05:28:40,404.0,False
833,2025-02-15 05:33:41,402.0,False
833,2025-02-15 05:38:41,402.0,False
833,2025-02-15 05:43:41,398.0,False
833,2025-02-15 05:48:42,396.0,False
833,2025-02-15 05:53:42,392.0,False
833,2025-02-15 05:58:41,392.0,False
833,2025-02-15 06:03:42,386.0,False
833,2025-02-15 06:08:42,382.0,False
833,2025-02-15 06:13:42,384.0,False
833,2025-02-15 06:18:42,386.0,False
833,2025-02-15 06:23:42,378.0,False
833,2025-02-15 06:28:42,380.0,False
833,2025-02-15 06:33:42,378.0,False
833,2025-02-15 06:38:43,372.0,False
833,2025-02-15 06:43:43,380.0,False
833,2025-02-15 06:48:44,368.0,False
833,2025-02-15 06:53:43,366.0,False
833,2025-02-15 06:58:43,364.0,False
833,2025-02-15 07:03:43,366.0,False
833,2025-02-15 07:08:43,368.0,False
833,2025-02-15 07:13:44,380.0,False
833,2025-02-15 07:18:43,360.0,False
833,2025-02-15 07:23:43,360.0,False
833,2025-02-15 07:28:44,366.0,False
833,2025-02-15 07:33:44,354.0,False
833,2025-02-15 07:38:44,364.0,False
833,2025-02-15 07:43:44,352.0,False
833,2025-02-15 07:48:45,348.0,False
833,2025-02-15 07:53:45,342.0,False
833,2025-02-15 07:58:45,348.0,False
833,2025-02-15 08:03:45,334.0,False
833,2025-02-15 08:08:47,334.0,False
833,2025-02-15 08:13:45,326.0,False
833,2025-02-15 08:18:45,330.0,False
833,2025-02-15 08:23:45,326.0,False
833,2025-02-15 08:28:46,320.0,False
833,2025-02-15 08:33:46,316.0,False
833,2025-02-15 08:38:46,314.0,False
833,2025-02-15 08:43:46,314.0,False
833,2025-02-15 08:48:46,312.0,False
